Time(s)   w(m/s)         T(K)        p(Pa)       z(m)    RH(%)  Activated Drops
 803.00     1.00       292.16     93337.84     803.00    74.13       0.0000E+00
 804.00     1.00       292.15     93326.93     804.00    74.17       0.0000E+00
 805.00     1.00       292.14     93316.01     805.00    74.20       0.0000E+00
 806.00     1.00       292.14     93305.10     806.00    74.24       0.0000E+00
 807.00     1.00       292.13     93294.19     807.00    74.28       0.0000E+00
 808.00     1.00       292.12     93283.28     808.00    74.31       0.0000E+00
 809.00     1.00       292.11     93272.37     809.00    74.35       0.0000E+00
 810.00     1.00       292.10     93261.46     810.00    74.39       0.0000E+00
 811.00     1.00       292.09     93250.55     811.00    74.42       0.0000E+00
 812.00     1.00       292.08     93239.65     812.00    74.46       0.0000E+00
 813.00     1.00       292.07     93228.74     813.00    74.50       0.0000E+00
 814.00     1.00       292.06     93217.84     814.00    74.53       0.0000E+00
 815.00     1.00       292.05     93206.93     815.00    74.57       0.0000E+00
 816.00     1.00       292.04     93196.03     816.00    74.61       0.0000E+00
 817.00     1.00       292.03     93185.13     817.00    74.64       0.0000E+00
 818.00     1.00       292.02     93174.23     818.00    74.68       0.0000E+00
 819.00     1.00       292.01     93163.33     819.00    74.72       0.0000E+00
 820.00     1.00       292.00     93152.43     820.00    74.75       0.0000E+00
 821.00     1.00       291.99     93141.53     821.00    74.79       0.0000E+00
 822.00     1.00       291.98     93130.63     822.00    74.83       0.0000E+00
 823.00     1.00       291.97     93119.74     823.00    74.87       0.0000E+00
 824.00     1.00       291.96     93108.84     824.00    74.90       0.0000E+00
 825.00     1.00       291.95     93097.94     825.00    74.94       0.0000E+00
 826.00     1.00       291.94     93087.05     826.00    74.98       0.0000E+00
 827.00     1.00       291.93     93076.16     827.00    75.01       0.0000E+00
 828.00     1.00       291.92     93065.27     828.00    75.05       0.0000E+00
 829.00     1.00       291.91     93054.37     829.00    75.09       0.0000E+00
 830.00     1.00       291.90     93043.48     830.00    75.12       0.0000E+00
 831.00     1.00       291.89     93032.60     831.00    75.16       0.0000E+00
 832.00     1.00       291.88     93021.71     832.00    75.20       0.0000E+00
 833.00     1.00       291.87     93010.82     833.00    75.24       0.0000E+00
 834.00     1.00       291.86     92999.93     834.00    75.27       0.0000E+00
 835.00     1.00       291.85     92989.05     835.00    75.31       0.0000E+00
 836.00     1.00       291.84     92978.16     836.00    75.35       0.0000E+00
 837.00     1.00       291.83     92967.28     837.00    75.38       0.0000E+00
 838.00     1.00       291.82     92956.40     838.00    75.42       0.0000E+00
 839.00     1.00       291.81     92945.51     839.00    75.46       0.0000E+00
 840.00     1.00       291.80     92934.63     840.00    75.50       0.0000E+00
 841.00     1.00       291.79     92923.75     841.00    75.53       0.0000E+00
 842.00     1.00       291.78     92912.87     842.00    75.57       0.0000E+00
 843.00     1.00       291.77     92901.99     843.00    75.61       0.0000E+00
 844.00     1.00       291.76     92891.12     844.00    75.65       0.0000E+00
 845.00     1.00       291.75     92880.24     845.00    75.68       0.0000E+00
 846.00     1.00       291.74     92869.36     846.00    75.72       0.0000E+00
 847.00     1.00       291.74     92858.49     847.00    75.76       0.0000E+00
 848.00     1.00       291.73     92847.62     848.00    75.79       0.0000E+00
 849.00     1.00       291.72     92836.74     849.00    75.83       0.0000E+00
 850.00     1.00       291.71     92825.87     850.00    75.87       0.0000E+00
 851.00     1.00       291.70     92815.00     851.00    75.91       0.0000E+00
 852.00     1.00       291.69     92804.13     852.00    75.94       0.0000E+00
 853.00     1.00       291.68     92793.26     853.00    75.98       0.0000E+00
 854.00     1.00       291.67     92782.39     854.00    76.02       0.0000E+00
 855.00     1.00       291.66     92771.52     855.00    76.06       0.0000E+00
 856.00     1.00       291.65     92760.66     856.00    76.10       0.0000E+00
 857.00     1.00       291.64     92749.79     857.00    76.13       0.0000E+00
 858.00     1.00       291.63     92738.93     858.00    76.17       0.0000E+00
 859.00     1.00       291.62     92728.06     859.00    76.21       0.0000E+00
 860.00     1.00       291.61     92717.20     860.00    76.25       0.0000E+00
 861.00     1.00       291.60     92706.34     861.00    76.28       0.0000E+00
 862.00     1.00       291.59     92695.48     862.00    76.32       0.0000E+00
 863.00     1.00       291.58     92684.62     863.00    76.36       0.0000E+00
 864.00     1.00       291.57     92673.76     864.00    76.40       0.0000E+00
 865.00     1.00       291.56     92662.90     865.00    76.43       0.0000E+00
 866.00     1.00       291.55     92652.04     866.00    76.47       0.0000E+00
 867.00     1.00       291.54     92641.18     867.00    76.51       0.0000E+00
 868.00     1.00       291.53     92630.33     868.00    76.55       0.0000E+00
 869.00     1.00       291.52     92619.47     869.00    76.59       0.0000E+00
 870.00     1.00       291.51     92608.62     870.00    76.62       0.0000E+00
 871.00     1.00       291.50     92597.77     871.00    76.66       0.0000E+00
 872.00     1.00       291.49     92586.92     872.00    76.70       0.0000E+00
 873.00     1.00       291.48     92576.06     873.00    76.74       0.0000E+00
 874.00     1.00       291.47     92565.21     874.00    76.78       0.0000E+00
 875.00     1.00       291.46     92554.36     875.00    76.81       0.0000E+00
 876.00     1.00       291.45     92543.52     876.00    76.85       0.0000E+00
 877.00     1.00       291.44     92532.67     877.00    76.89       0.0000E+00
 878.00     1.00       291.43     92521.82     878.00    76.93       0.0000E+00
 879.00     1.00       291.42     92510.98     879.00    76.97       0.0000E+00
 880.00     1.00       291.41     92500.13     880.00    77.00       0.0000E+00
 881.00     1.00       291.40     92489.29     881.00    77.04       0.0000E+00
 882.00     1.00       291.39     92478.45     882.00    77.08       0.0000E+00
 883.00     1.00       291.38     92467.60     883.00    77.12       0.0000E+00
 884.00     1.00       291.37     92456.76     884.00    77.16       0.0000E+00
 885.00     1.00       291.36     92445.92     885.00    77.20       0.0000E+00
 886.00     1.00       291.35     92435.08     886.00    77.23       0.0000E+00
 887.00     1.00       291.34     92424.24     887.00    77.27       0.0000E+00
 888.00     1.00       291.34     92413.41     888.00    77.31       0.0000E+00
 889.00     1.00       291.33     92402.57     889.00    77.35       0.0000E+00
 890.00     1.00       291.32     92391.73     890.00    77.39       0.0000E+00
 891.00     1.00       291.31     92380.90     891.00    77.43       0.0000E+00
 892.00     1.00       291.30     92370.07     892.00    77.46       0.0000E+00
 893.00     1.00       291.29     92359.23     893.00    77.50       0.0000E+00
 894.00     1.00       291.28     92348.40     894.00    77.54       0.0000E+00
 895.00     1.00       291.27     92337.57     895.00    77.58       0.0000E+00
 896.00     1.00       291.26     92326.74     896.00    77.62       0.0000E+00
 897.00     1.00       291.25     92315.91     897.00    77.66       0.0000E+00
 898.00     1.00       291.24     92305.08     898.00    77.70       0.0000E+00
 899.00     1.00       291.23     92294.25     899.00    77.73       0.0000E+00
 900.00     1.00       291.22     92283.43     900.00    77.77       0.0000E+00
 901.00     1.00       291.21     92272.60     901.00    77.81       0.0000E+00
 902.00     1.00       291.20     92261.78     902.00    77.85       0.0000E+00
 903.00     1.00       291.19     92250.95     903.00    77.89       0.0000E+00
 904.00     1.00       291.18     92240.13     904.00    77.93       0.0000E+00
 905.00     1.00       291.17     92229.31     905.00    77.97       0.0000E+00
 906.00     1.00       291.16     92218.49     906.00    78.00       0.0000E+00
 907.00     1.00       291.15     92207.67     907.00    78.04       0.0000E+00
 908.00     1.00       291.14     92196.85     908.00    78.08       0.0000E+00
 909.00     1.00       291.13     92186.03     909.00    78.12       0.0000E+00
 910.00     1.00       291.12     92175.21     910.00    78.16       0.0000E+00
 911.00     1.00       291.11     92164.39     911.00    78.20       0.0000E+00
 912.00     1.00       291.10     92153.58     912.00    78.24       0.0000E+00
 913.00     1.00       291.09     92142.76     913.00    78.28       0.0000E+00
 914.00     1.00       291.08     92131.95     914.00    78.31       0.0000E+00
 915.00     1.00       291.07     92121.14     915.00    78.35       0.0000E+00
 916.00     1.00       291.06     92110.32     916.00    78.39       0.0000E+00
 917.00     1.00       291.05     92099.51     917.00    78.43       0.0000E+00
 918.00     1.00       291.04     92088.70     918.00    78.47       0.0000E+00
 919.00     1.00       291.03     92077.89     919.00    78.51       0.0000E+00
 920.00     1.00       291.02     92067.09     920.00    78.55       0.0000E+00
 921.00     1.00       291.01     92056.28     921.00    78.59       0.0000E+00
 922.00     1.00       291.00     92045.47     922.00    78.63       0.0000E+00
 923.00     1.00       290.99     92034.67     923.00    78.67       0.0000E+00
 924.00     1.00       290.98     92023.86     924.00    78.71       0.0000E+00
 925.00     1.00       290.97     92013.06     925.00    78.74       0.0000E+00
 926.00     1.00       290.96     92002.25     926.00    78.78       0.0000E+00
 927.00     1.00       290.95     91991.45     927.00    78.82       0.0000E+00
 928.00     1.00       290.94     91980.65     928.00    78.86       0.0000E+00
 929.00     1.00       290.93     91969.85     929.00    78.90       0.0000E+00
 930.00     1.00       290.93     91959.05     930.00    78.94       0.0000E+00
 931.00     1.00       290.92     91948.25     931.00    78.98       0.0000E+00
 932.00     1.00       290.91     91937.45     932.00    79.02       0.0000E+00
 933.00     1.00       290.90     91926.66     933.00    79.06       0.0000E+00
 934.00     1.00       290.89     91915.86     934.00    79.10       0.0000E+00
 935.00     1.00       290.88     91905.07     935.00    79.14       0.0000E+00
 936.00     1.00       290.87     91894.27     936.00    79.18       0.0000E+00
 937.00     1.00       290.86     91883.48     937.00    79.22       0.0000E+00
 938.00     1.00       290.85     91872.69     938.00    79.26       0.0000E+00
 939.00     1.00       290.84     91861.90     939.00    79.29       0.0000E+00
 940.00     1.00       290.83     91851.11     940.00    79.33       0.0000E+00
 941.00     1.00       290.82     91840.32     941.00    79.37       0.0000E+00
 942.00     1.00       290.81     91829.53     942.00    79.41       0.0000E+00
 943.00     1.00       290.80     91818.74     943.00    79.45       0.0000E+00
 944.00     1.00       290.79     91807.95     944.00    79.49       0.0000E+00
 945.00     1.00       290.78     91797.17     945.00    79.53       0.0000E+00
 946.00     1.00       290.77     91786.38     946.00    79.57       0.0000E+00
 947.00     1.00       290.76     91775.60     947.00    79.61       0.0000E+00
 948.00     1.00       290.75     91764.82     948.00    79.65       0.0000E+00
 949.00     1.00       290.74     91754.03     949.00    79.69       0.0000E+00
 950.00     1.00       290.73     91743.25     950.00    79.73       0.0000E+00
 951.00     1.00       290.72     91732.47     951.00    79.77       0.0000E+00
 952.00     1.00       290.71     91721.69     952.00    79.81       0.0000E+00
 953.00     1.00       290.70     91710.91     953.00    79.85       0.0000E+00
 954.00     1.00       290.69     91700.14     954.00    79.89       0.0000E+00
 955.00     1.00       290.68     91689.36     955.00    79.93       0.0000E+00
 956.00     1.00       290.67     91678.58     956.00    79.97       0.0000E+00
 957.00     1.00       290.66     91667.81     957.00    80.01       0.0000E+00
 958.00     1.00       290.65     91657.03     958.00    80.05       0.0000E+00
 959.00     1.00       290.64     91646.26     959.00    80.09       0.0000E+00
 960.00     1.00       290.63     91635.49     960.00    80.13       0.0000E+00
 961.00     1.00       290.62     91624.72     961.00    80.17       0.0000E+00
 962.00     1.00       290.61     91613.95     962.00    80.21       0.0000E+00
 963.00     1.00       290.60     91603.18     963.00    80.25       0.0000E+00
 964.00     1.00       290.59     91592.41     964.00    80.29       0.0000E+00
 965.00     1.00       290.58     91581.64     965.00    80.33       0.0000E+00
 966.00     1.00       290.57     91570.87     966.00    80.37       0.0000E+00
 967.00     1.00       290.56     91560.11     967.00    80.41       0.0000E+00
 968.00     1.00       290.55     91549.34     968.00    80.45       0.0000E+00
 969.00     1.00       290.54     91538.58     969.00    80.49       0.0000E+00
 970.00     1.00       290.53     91527.82     970.00    80.53       0.0000E+00
 971.00     1.00       290.53     91517.05     971.00    80.57       0.0000E+00
 972.00     1.00       290.52     91506.29     972.00    80.61       0.0000E+00
 973.00     1.00       290.51     91495.53     973.00    80.65       0.0000E+00
 974.00     1.00       290.50     91484.77     974.00    80.69       0.0000E+00
 975.00     1.00       290.49     91474.01     975.00    80.73       0.0000E+00
 976.00     1.00       290.48     91463.26     976.00    80.77       0.0000E+00
 977.00     1.00       290.47     91452.50     977.00    80.81       0.0000E+00
 978.00     1.00       290.46     91441.74     978.00    80.85       0.0000E+00
 979.00     1.00       290.45     91430.99     979.00    80.89       0.0000E+00
 980.00     1.00       290.44     91420.23     980.00    80.93       0.0000E+00
 981.00     1.00       290.43     91409.48     981.00    80.97       0.0000E+00
 982.00     1.00       290.42     91398.73     982.00    81.01       0.0000E+00
 983.00     1.00       290.41     91387.98     983.00    81.05       0.0000E+00
 984.00     1.00       290.40     91377.23     984.00    81.10       0.0000E+00
 985.00     1.00       290.39     91366.48     985.00    81.14       0.0000E+00
 986.00     1.00       290.38     91355.73     986.00    81.18       0.0000E+00
 987.00     1.00       290.37     91344.98     987.00    81.22       0.0000E+00
 988.00     1.00       290.36     91334.23     988.00    81.26       0.0000E+00
 989.00     1.00       290.35     91323.49     989.00    81.30       0.0000E+00
 990.00     1.00       290.34     91312.74     990.00    81.34       0.0000E+00
 991.00     1.00       290.33     91302.00     991.00    81.38       0.0000E+00
 992.00     1.00       290.32     91291.25     992.00    81.42       0.0000E+00
 993.00     1.00       290.31     91280.51     993.00    81.46       0.0000E+00
 994.00     1.00       290.30     91269.77     994.00    81.50       0.0000E+00
 995.00     1.00       290.29     91259.03     995.00    81.54       0.0000E+00
 996.00     1.00       290.28     91248.29     996.00    81.58       0.0000E+00
 997.00     1.00       290.27     91237.55     997.00    81.62       0.0000E+00
 998.00     1.00       290.26     91226.81     998.00    81.67       0.0000E+00
 999.00     1.00       290.25     91216.08     999.00    81.71       0.0000E+00
1000.00     1.00       290.24     91205.34    1000.00    81.75       0.0000E+00
1001.00     1.00       290.23     91194.60    1001.00    81.79       0.0000E+00
1002.00     1.00       290.22     91183.87    1002.00    81.83       0.0000E+00
1003.00     1.00       290.21     91173.14    1003.00    81.87       0.0000E+00
1004.00     1.00       290.20     91162.40    1004.00    81.91       0.0000E+00
1005.00     1.00       290.19     91151.67    1005.00    81.95       0.0000E+00
1006.00     1.00       290.18     91140.94    1006.00    81.99       0.0000E+00
1007.00     1.00       290.17     91130.21    1007.00    82.03       0.0000E+00
1008.00     1.00       290.16     91119.48    1008.00    82.08       0.0000E+00
1009.00     1.00       290.15     91108.75    1009.00    82.12       0.0000E+00
1010.00     1.00       290.14     91098.03    1010.00    82.16       0.0000E+00
1011.00     1.00       290.13     91087.30    1011.00    82.20       0.0000E+00
1012.00     1.00       290.13     91076.58    1012.00    82.24       0.0000E+00
1013.00     1.00       290.12     91065.85    1013.00    82.28       0.0000E+00
1014.00     1.00       290.11     91055.13    1014.00    82.32       0.0000E+00
1015.00     1.00       290.10     91044.41    1015.00    82.36       0.0000E+00
1016.00     1.00       290.09     91033.68    1016.00    82.40       0.0000E+00
1017.00     1.00       290.08     91022.96    1017.00    82.45       0.0000E+00
1018.00     1.00       290.07     91012.24    1018.00    82.49       0.0000E+00
1019.00     1.00       290.06     91001.52    1019.00    82.53       0.0000E+00
1020.00     1.00       290.05     90990.81    1020.00    82.57       0.0000E+00
1021.00     1.00       290.04     90980.09    1021.00    82.61       0.0000E+00
1022.00     1.00       290.03     90969.37    1022.00    82.65       0.0000E+00
1023.00     1.00       290.02     90958.66    1023.00    82.69       0.0000E+00
1024.00     1.00       290.01     90947.94    1024.00    82.74       0.0000E+00
1025.00     1.00       290.00     90937.23    1025.00    82.78       0.0000E+00
1026.00     1.00       289.99     90926.52    1026.00    82.82       0.0000E+00
1027.00     1.00       289.98     90915.80    1027.00    82.86       0.0000E+00
1028.00     1.00       289.97     90905.09    1028.00    82.90       0.0000E+00
1029.00     1.00       289.96     90894.38    1029.00    82.94       0.0000E+00
1030.00     1.00       289.95     90883.67    1030.00    82.99       0.0000E+00
1031.00     1.00       289.94     90872.97    1031.00    83.03       0.0000E+00
1032.00     1.00       289.93     90862.26    1032.00    83.07       0.0000E+00
1033.00     1.00       289.92     90851.55    1033.00    83.11       0.0000E+00
1034.00     1.00       289.91     90840.85    1034.00    83.15       0.0000E+00
1035.00     1.00       289.90     90830.14    1035.00    83.19       0.0000E+00
1036.00     1.00       289.89     90819.44    1036.00    83.24       0.0000E+00
1037.00     1.00       289.88     90808.74    1037.00    83.28       0.0000E+00
1038.00     1.00       289.87     90798.03    1038.00    83.32       0.0000E+00
1039.00     1.00       289.86     90787.33    1039.00    83.36       0.0000E+00
1040.00     1.00       289.85     90776.63    1040.00    83.40       0.0000E+00
1041.00     1.00       289.84     90765.93    1041.00    83.44       0.0000E+00
1042.00     1.00       289.83     90755.24    1042.00    83.49       0.0000E+00
1043.00     1.00       289.82     90744.54    1043.00    83.53       0.0000E+00
1044.00     1.00       289.81     90733.84    1044.00    83.57       0.0000E+00
1045.00     1.00       289.80     90723.15    1045.00    83.61       0.0000E+00
1046.00     1.00       289.79     90712.45    1046.00    83.65       0.0000E+00
1047.00     1.00       289.78     90701.76    1047.00    83.70       0.0000E+00
1048.00     1.00       289.77     90691.07    1048.00    83.74       0.0000E+00
1049.00     1.00       289.76     90680.37    1049.00    83.78       0.0000E+00
1050.00     1.00       289.75     90669.68    1050.00    83.82       0.0000E+00
1051.00     1.00       289.74     90658.99    1051.00    83.87       0.0000E+00
1052.00     1.00       289.73     90648.30    1052.00    83.91       0.0000E+00
1053.00     1.00       289.72     90637.62    1053.00    83.95       0.0000E+00
1054.00     1.00       289.72     90626.93    1054.00    83.99       0.0000E+00
1055.00     1.00       289.71     90616.24    1055.00    84.03       0.0000E+00
1056.00     1.00       289.70     90605.56    1056.00    84.08       0.0000E+00
1057.00     1.00       289.69     90594.87    1057.00    84.12       0.0000E+00
1058.00     1.00       289.68     90584.19    1058.00    84.16       0.0000E+00
1059.00     1.00       289.67     90573.50    1059.00    84.20       0.0000E+00
1060.00     1.00       289.66     90562.82    1060.00    84.25       0.0000E+00
1061.00     1.00       289.65     90552.14    1061.00    84.29       0.0000E+00
1062.00     1.00       289.64     90541.46    1062.00    84.33       0.0000E+00
1063.00     1.00       289.63     90530.78    1063.00    84.37       0.0000E+00
1064.00     1.00       289.62     90520.10    1064.00    84.42       0.0000E+00
1065.00     1.00       289.61     90509.43    1065.00    84.46       0.0000E+00
1066.00     1.00       289.60     90498.75    1066.00    84.50       0.0000E+00
1067.00     1.00       289.59     90488.07    1067.00    84.54       0.0000E+00
1068.00     1.00       289.58     90477.40    1068.00    84.59       0.0000E+00
1069.00     1.00       289.57     90466.72    1069.00    84.63       0.0000E+00
1070.00     1.00       289.56     90456.05    1070.00    84.67       0.0000E+00
1071.00     1.00       289.55     90445.38    1071.00    84.71       0.0000E+00
1072.00     1.00       289.54     90434.71    1072.00    84.76       0.0000E+00
1073.00     1.00       289.53     90424.04    1073.00    84.80       0.0000E+00
1074.00     1.00       289.52     90413.37    1074.00    84.84       0.0000E+00
1075.00     1.00       289.51     90402.70    1075.00    84.88       0.0000E+00
1076.00     1.00       289.50     90392.03    1076.00    84.93       0.0000E+00
1077.00     1.00       289.49     90381.37    1077.00    84.97       0.0000E+00
1078.00     1.00       289.48     90370.70    1078.00    85.01       0.0000E+00
1079.00     1.00       289.47     90360.03    1079.00    85.06       0.0000E+00
1080.00     1.00       289.46     90349.37    1080.00    85.10       0.0000E+00
1081.00     1.00       289.45     90338.71    1081.00    85.14       0.0000E+00
1082.00     1.00       289.44     90328.05    1082.00    85.18       0.0000E+00
1083.00     1.00       289.43     90317.38    1083.00    85.23       0.0000E+00
1084.00     1.00       289.42     90306.72    1084.00    85.27       0.0000E+00
1085.00     1.00       289.41     90296.06    1085.00    85.31       0.0000E+00
1086.00     1.00       289.40     90285.41    1086.00    85.36       0.0000E+00
1087.00     1.00       289.39     90274.75    1087.00    85.40       0.0000E+00
1088.00     1.00       289.38     90264.09    1088.00    85.44       0.0000E+00
1089.00     1.00       289.37     90253.43    1089.00    85.49       0.0000E+00
1090.00     1.00       289.36     90242.78    1090.00    85.53       0.0000E+00
1091.00     1.00       289.35     90232.13    1091.00    85.57       0.0000E+00
1092.00     1.00       289.34     90221.47    1092.00    85.61       0.0000E+00
1093.00     1.00       289.33     90210.82    1093.00    85.66       0.0000E+00
1094.00     1.00       289.32     90200.17    1094.00    85.70       0.0000E+00
1095.00     1.00       289.32     90189.52    1095.00    85.74       0.0000E+00
1096.00     1.00       289.31     90178.87    1096.00    85.79       0.0000E+00
1097.00     1.00       289.30     90168.22    1097.00    85.83       0.0000E+00
1098.00     1.00       289.29     90157.57    1098.00    85.87       0.0000E+00
1099.00     1.00       289.28     90146.92    1099.00    85.92       0.0000E+00
1100.00     1.00       289.27     90136.28    1100.00    85.96       0.0000E+00
1101.00     1.00       289.26     90125.63    1101.00    86.00       0.0000E+00
1102.00     1.00       289.25     90114.99    1102.00    86.05       0.0000E+00
1103.00     1.00       289.24     90104.35    1103.00    86.09       0.0000E+00
1104.00     1.00       289.23     90093.70    1104.00    86.13       0.0000E+00
1105.00     1.00       289.22     90083.06    1105.00    86.18       0.0000E+00
1106.00     1.00       289.21     90072.42    1106.00    86.22       0.0000E+00
1107.00     1.00       289.20     90061.78    1107.00    86.27       0.0000E+00
1108.00     1.00       289.19     90051.14    1108.00    86.31       0.0000E+00
1109.00     1.00       289.18     90040.50    1109.00    86.35       0.0000E+00
1110.00     1.00       289.17     90029.87    1110.00    86.40       0.0000E+00
1111.00     1.00       289.16     90019.23    1111.00    86.44       0.0000E+00
1112.00     1.00       289.15     90008.60    1112.00    86.48       0.0000E+00
1113.00     1.00       289.14     89997.96    1113.00    86.53       0.0000E+00
1114.00     1.00       289.13     89987.33    1114.00    86.57       0.0000E+00
1115.00     1.00       289.12     89976.70    1115.00    86.61       0.0000E+00
1116.00     1.00       289.11     89966.06    1116.00    86.66       0.0000E+00
1117.00     1.00       289.10     89955.43    1117.00    86.70       0.0000E+00
1118.00     1.00       289.09     89944.80    1118.00    86.75       0.0000E+00
1119.00     1.00       289.08     89934.17    1119.00    86.79       0.0000E+00
1120.00     1.00       289.07     89923.55    1120.00    86.83       0.0000E+00
1121.00     1.00       289.06     89912.92    1121.00    86.88       0.0000E+00
1122.00     1.00       289.05     89902.29    1122.00    86.92       0.0000E+00
1123.00     1.00       289.04     89891.67    1123.00    86.97       0.0000E+00
1124.00     1.00       289.03     89881.04    1124.00    87.01       0.0000E+00
1125.00     1.00       289.02     89870.42    1125.00    87.05       0.0000E+00
1126.00     1.00       289.01     89859.80    1126.00    87.10       0.0000E+00
1127.00     1.00       289.00     89849.17    1127.00    87.14       0.0000E+00
1128.00     1.00       288.99     89838.55    1128.00    87.19       0.0000E+00
1129.00     1.00       288.98     89827.93    1129.00    87.23       0.0000E+00
1130.00     1.00       288.97     89817.31    1130.00    87.27       0.0000E+00
1131.00     1.00       288.96     89806.70    1131.00    87.32       0.0000E+00
1132.00     1.00       288.95     89796.08    1132.00    87.36       0.0000E+00
1133.00     1.00       288.94     89785.46    1133.00    87.41       0.0000E+00
1134.00     1.00       288.93     89774.85    1134.00    87.45       0.0000E+00
1135.00     1.00       288.92     89764.23    1135.00    87.50       0.0000E+00
1136.00     1.00       288.92     89753.62    1136.00    87.54       0.0000E+00
1137.00     1.00       288.91     89743.00    1137.00    87.58       0.0000E+00
1138.00     1.00       288.90     89732.39    1138.00    87.63       0.0000E+00
1139.00     1.00       288.89     89721.78    1139.00    87.67       0.0000E+00
1140.00     1.00       288.88     89711.17    1140.00    87.72       0.0000E+00
1141.00     1.00       288.87     89700.56    1141.00    87.76       0.0000E+00
1142.00     1.00       288.86     89689.95    1142.00    87.81       0.0000E+00
1143.00     1.00       288.85     89679.35    1143.00    87.85       0.0000E+00
1144.00     1.00       288.84     89668.74    1144.00    87.90       0.0000E+00
1145.00     1.00       288.83     89658.13    1145.00    87.94       0.0000E+00
1146.00     1.00       288.82     89647.53    1146.00    87.98       0.0000E+00
1147.00     1.00       288.81     89636.93    1147.00    88.03       0.0000E+00
1148.00     1.00       288.80     89626.32    1148.00    88.07       0.0000E+00
1149.00     1.00       288.79     89615.72    1149.00    88.12       0.0000E+00
1150.00     1.00       288.78     89605.12    1150.00    88.16       0.0000E+00
1151.00     1.00       288.77     89594.52    1151.00    88.21       0.0000E+00
1152.00     1.00       288.76     89583.92    1152.00    88.25       0.0000E+00
1153.00     1.00       288.75     89573.32    1153.00    88.30       0.0000E+00
1154.00     1.00       288.74     89562.72    1154.00    88.34       0.0000E+00
1155.00     1.00       288.73     89552.13    1155.00    88.39       0.0000E+00
1156.00     1.00       288.72     89541.53    1156.00    88.43       0.0000E+00
1157.00     1.00       288.71     89530.94    1157.00    88.48       0.0000E+00
1158.00     1.00       288.70     89520.34    1158.00    88.52       0.0000E+00
1159.00     1.00       288.69     89509.75    1159.00    88.57       0.0000E+00
1160.00     1.00       288.68     89499.16    1160.00    88.61       0.0000E+00
1161.00     1.00       288.67     89488.56    1161.00    88.66       0.0000E+00
1162.00     1.00       288.66     89477.97    1162.00    88.70       0.0000E+00
1163.00     1.00       288.65     89467.38    1163.00    88.75       0.0000E+00
1164.00     1.00       288.64     89456.80    1164.00    88.79       0.0000E+00
1165.00     1.00       288.63     89446.21    1165.00    88.84       0.0000E+00
1166.00     1.00       288.62     89435.62    1166.00    88.88       0.0000E+00
1167.00     1.00       288.61     89425.04    1167.00    88.93       0.0000E+00
1168.00     1.00       288.60     89414.45    1168.00    88.97       0.0000E+00
1169.00     1.00       288.59     89403.87    1169.00    89.02       0.0000E+00
1170.00     1.00       288.58     89393.28    1170.00    89.06       0.0000E+00
1171.00     1.00       288.57     89382.70    1171.00    89.11       0.0000E+00
1172.00     1.00       288.56     89372.12    1172.00    89.15       0.0000E+00
1173.00     1.00       288.55     89361.54    1173.00    89.20       0.0000E+00
1174.00     1.00       288.54     89350.96    1174.00    89.24       0.0000E+00
1175.00     1.00       288.53     89340.38    1175.00    89.29       0.0000E+00
1176.00     1.00       288.52     89329.80    1176.00    89.33       0.0000E+00
1177.00     1.00       288.51     89319.22    1177.00    89.38       0.0000E+00
1178.00     1.00       288.51     89308.65    1178.00    89.43       0.0000E+00
1179.00     1.00       288.50     89298.07    1179.00    89.47       0.0000E+00
1180.00     1.00       288.49     89287.50    1180.00    89.52       0.0000E+00
1181.00     1.00       288.48     89276.93    1181.00    89.56       0.0000E+00
1182.00     1.00       288.47     89266.35    1182.00    89.61       0.0000E+00
1183.00     1.00       288.46     89255.78    1183.00    89.65       0.0000E+00
1184.00     1.00       288.45     89245.21    1184.00    89.70       0.0000E+00
1185.00     1.00       288.44     89234.64    1185.00    89.74       0.0000E+00
1186.00     1.00       288.43     89224.07    1186.00    89.79       0.0000E+00
1187.00     1.00       288.42     89213.50    1187.00    89.84       0.0000E+00
1188.00     1.00       288.41     89202.94    1188.00    89.88       0.0000E+00
1189.00     1.00       288.40     89192.37    1189.00    89.93       0.0000E+00
1190.00     1.00       288.39     89181.80    1190.00    89.97       0.0000E+00
1191.00     1.00       288.38     89171.24    1191.00    90.02       0.0000E+00
1192.00     1.00       288.37     89160.68    1192.00    90.06       0.0000E+00
1193.00     1.00       288.36     89150.11    1193.00    90.11       0.0000E+00
1194.00     1.00       288.35     89139.55    1194.00    90.16       0.0000E+00
1195.00     1.00       288.34     89128.99    1195.00    90.20       0.0000E+00
1196.00     1.00       288.33     89118.43    1196.00    90.25       0.0000E+00
1197.00     1.00       288.32     89107.87    1197.00    90.29       0.0000E+00
1198.00     1.00       288.31     89097.31    1198.00    90.34       0.0000E+00
1199.00     1.00       288.30     89086.76    1199.00    90.39       0.0000E+00
1200.00     1.00       288.29     89076.20    1200.00    90.43       0.0000E+00
1201.00     1.00       288.28     89065.64    1201.00    90.48       0.0000E+00
1202.00     1.00       288.27     89055.09    1202.00    90.52       0.0000E+00
1203.00     1.00       288.26     89044.54    1203.00    90.57       0.0000E+00
1204.00     1.00       288.25     89033.98    1204.00    90.62       0.0000E+00
1205.00     1.00       288.24     89023.43    1205.00    90.66       0.0000E+00
1206.00     1.00       288.23     89012.88    1206.00    90.71       0.0000E+00
