Time(s)   w(m/s)         T(K)        p(Pa)       z(m)    RH(%)  Activated Drops, q
1032.00     1.00       289.93     90862.26    1032.00    81.97     0.0000E+00     0.010930
1033.00     1.00       289.92     90851.55    1033.00    82.02     0.0000E+00     0.010930
1034.00     1.00       289.91     90840.85    1034.00    82.06     0.0000E+00     0.010930
1035.00     1.00       289.90     90830.14    1035.00    82.10     0.0000E+00     0.010930
1036.00     1.00       289.89     90819.44    1036.00    82.14     0.0000E+00     0.010930
1037.00     1.00       289.88     90808.74    1037.00    82.18     0.0000E+00     0.010930
1038.00     1.00       289.87     90798.03    1038.00    82.23     0.0000E+00     0.010930
1039.00     1.00       289.86     90787.33    1039.00    82.27     0.0000E+00     0.010930
1040.00     1.00       289.85     90776.63    1040.00    82.31     0.0000E+00     0.010930
1041.00     1.00       289.84     90765.93    1041.00    82.35     0.0000E+00     0.010930
1042.00     1.00       289.83     90755.24    1042.00    82.39     0.0000E+00     0.010930
1043.00     1.00       289.82     90744.54    1043.00    82.44     0.0000E+00     0.010930
1044.00     1.00       289.81     90733.84    1044.00    82.48     0.0000E+00     0.010930
1045.00     1.00       289.80     90723.15    1045.00    82.52     0.0000E+00     0.010930
1046.00     1.00       289.79     90712.45    1046.00    82.56     0.0000E+00     0.010930
1047.00     1.00       289.78     90701.76    1047.00    82.61     0.0000E+00     0.010930
1048.00     1.00       289.77     90691.07    1048.00    82.65     0.0000E+00     0.010930
1049.00     1.00       289.76     90680.37    1049.00    82.69     0.0000E+00     0.010930
1050.00     1.00       289.75     90669.68    1050.00    82.73     0.0000E+00     0.010930
1051.00     1.00       289.74     90658.99    1051.00    82.78     0.0000E+00     0.010930
1052.00     1.00       289.73     90648.30    1052.00    82.82     0.0000E+00     0.010930
1053.00     1.00       289.72     90637.62    1053.00    82.86     0.0000E+00     0.010930
1054.00     1.00       289.72     90626.93    1054.00    82.90     0.0000E+00     0.010930
1055.00     1.00       289.71     90616.24    1055.00    82.95     0.0000E+00     0.010930
1056.00     1.00       289.70     90605.56    1056.00    82.99     0.0000E+00     0.010930
1057.00     1.00       289.69     90594.87    1057.00    83.03     0.0000E+00     0.010930
1058.00     1.00       289.68     90584.19    1058.00    83.07     0.0000E+00     0.010930
1059.00     1.00       289.67     90573.50    1059.00    83.12     0.0000E+00     0.010930
1060.00     1.00       289.66     90562.82    1060.00    83.16     0.0000E+00     0.010930
1061.00     1.00       289.65     90552.14    1061.00    83.20     0.0000E+00     0.010930
1062.00     1.00       289.64     90541.46    1062.00    83.24     0.0000E+00     0.010930
1063.00     1.00       289.63     90530.78    1063.00    83.29     0.0000E+00     0.010930
1064.00     1.00       289.62     90520.10    1064.00    83.33     0.0000E+00     0.010930
1065.00     1.00       289.61     90509.43    1065.00    83.37     0.0000E+00     0.010930
1066.00     1.00       289.60     90498.75    1066.00    83.41     0.0000E+00     0.010930
1067.00     1.00       289.59     90488.07    1067.00    83.46     0.0000E+00     0.010930
1068.00     1.00       289.58     90477.40    1068.00    83.50     0.0000E+00     0.010930
1069.00     1.00       289.57     90466.72    1069.00    83.54     0.0000E+00     0.010930
1070.00     1.00       289.56     90456.05    1070.00    83.59     0.0000E+00     0.010930
1071.00     1.00       289.55     90445.38    1071.00    83.63     0.0000E+00     0.010930
1072.00     1.00       289.54     90434.71    1072.00    83.67     0.0000E+00     0.010930
1073.00     1.00       289.53     90424.04    1073.00    83.72     0.0000E+00     0.010930
1074.00     1.00       289.52     90413.37    1074.00    83.76     0.0000E+00     0.010930
1075.00     1.00       289.51     90402.70    1075.00    83.80     0.0000E+00     0.010930
1076.00     1.00       289.50     90392.03    1076.00    83.84     0.0000E+00     0.010930
1077.00     1.00       289.49     90381.36    1077.00    83.89     0.0000E+00     0.010930
1078.00     1.00       289.48     90370.70    1078.00    83.93     0.0000E+00     0.010930
1079.00     1.00       289.47     90360.03    1079.00    83.97     0.0000E+00     0.010930
1080.00     1.00       289.46     90349.37    1080.00    84.02     0.0000E+00     0.010930
1081.00     1.00       289.45     90338.71    1081.00    84.06     0.0000E+00     0.010930
1082.00     1.00       289.44     90328.04    1082.00    84.10     0.0000E+00     0.010930
1083.00     1.00       289.43     90317.38    1083.00    84.15     0.0000E+00     0.010930
1084.00     1.00       289.42     90306.72    1084.00    84.19     0.0000E+00     0.010930
1085.00     1.00       289.41     90296.06    1085.00    84.23     0.0000E+00     0.010930
1086.00     1.00       289.40     90285.40    1086.00    84.28     0.0000E+00     0.010930
1087.00     1.00       289.39     90274.75    1087.00    84.32     0.0000E+00     0.010930
1088.00     1.00       289.38     90264.09    1088.00    84.36     0.0000E+00     0.010930
1089.00     1.00       289.37     90253.43    1089.00    84.41     0.0000E+00     0.010930
1090.00     1.00       289.36     90242.78    1090.00    84.45     0.0000E+00     0.010930
1091.00     1.00       289.35     90232.12    1091.00    84.49     0.0000E+00     0.010930
1092.00     1.00       289.34     90221.47    1092.00    84.54     0.0000E+00     0.010930
1093.00     1.00       289.33     90210.82    1093.00    84.58     0.0000E+00     0.010930
1094.00     1.00       289.32     90200.17    1094.00    84.62     0.0000E+00     0.010930
1095.00     1.00       289.32     90189.52    1095.00    84.67     0.0000E+00     0.010930
1096.00     1.00       289.31     90178.87    1096.00    84.71     0.0000E+00     0.010930
1097.00     1.00       289.30     90168.22    1097.00    84.75     0.0000E+00     0.010930
1098.00     1.00       289.29     90157.57    1098.00    84.80     0.0000E+00     0.010930
1099.00     1.00       289.28     90146.92    1099.00    84.84     0.0000E+00     0.010930
1100.00     1.00       289.27     90136.28    1100.00    84.89     0.0000E+00     0.010930
1101.00     1.00       289.26     90125.63    1101.00    84.93     0.0000E+00     0.010930
1102.00     1.00       289.25     90114.99    1102.00    84.97     0.0000E+00     0.010930
1103.00     1.00       289.24     90104.35    1103.00    85.02     0.0000E+00     0.010930
1104.00     1.00       289.23     90093.70    1104.00    85.06     0.0000E+00     0.010930
1105.00     1.00       289.22     90083.06    1105.00    85.10     0.0000E+00     0.010930
1106.00     1.00       289.21     90072.42    1106.00    85.15     0.0000E+00     0.010930
1107.00     1.00       289.20     90061.78    1107.00    85.19     0.0000E+00     0.010930
1108.00     1.00       289.19     90051.14    1108.00    85.24     0.0000E+00     0.010930
1109.00     1.00       289.18     90040.50    1109.00    85.28     0.0000E+00     0.010930
1110.00     1.00       289.17     90029.87    1110.00    85.32     0.0000E+00     0.010930
1111.00     1.00       289.16     90019.23    1111.00    85.37     0.0000E+00     0.010930
1112.00     1.00       289.15     90008.60    1112.00    85.41     0.0000E+00     0.010930
1113.00     1.00       289.14     89997.96    1113.00    85.46     0.0000E+00     0.010930
1114.00     1.00       289.13     89987.33    1114.00    85.50     0.0000E+00     0.010930
1115.00     1.00       289.12     89976.69    1115.00    85.54     0.0000E+00     0.010930
1116.00     1.00       289.11     89966.06    1116.00    85.59     0.0000E+00     0.010930
1117.00     1.00       289.10     89955.43    1117.00    85.63     0.0000E+00     0.010930
1118.00     1.00       289.09     89944.80    1118.00    85.68     0.0000E+00     0.010930
1119.00     1.00       289.08     89934.17    1119.00    85.72     0.0000E+00     0.010930
1120.00     1.00       289.07     89923.55    1120.00    85.76     0.0000E+00     0.010930
1121.00     1.00       289.06     89912.92    1121.00    85.81     0.0000E+00     0.010930
1122.00     1.00       289.05     89902.29    1122.00    85.85     0.0000E+00     0.010930
1123.00     1.00       289.04     89891.67    1123.00    85.90     0.0000E+00     0.010930
1124.00     1.00       289.03     89881.04    1124.00    85.94     0.0000E+00     0.010930
1125.00     1.00       289.02     89870.42    1125.00    85.99     0.0000E+00     0.010930
1126.00     1.00       289.01     89859.80    1126.00    86.03     0.0000E+00     0.010930
1127.00     1.00       289.00     89849.17    1127.00    86.07     0.0000E+00     0.010930
1128.00     1.00       288.99     89838.55    1128.00    86.12     0.0000E+00     0.010930
1129.00     1.00       288.98     89827.93    1129.00    86.16     0.0000E+00     0.010930
1130.00     1.00       288.97     89817.31    1130.00    86.21     0.0000E+00     0.010930
1131.00     1.00       288.96     89806.70    1131.00    86.25     0.0000E+00     0.010930
1132.00     1.00       288.95     89796.08    1132.00    86.30     0.0000E+00     0.010930
1133.00     1.00       288.94     89785.46    1133.00    86.34     0.0000E+00     0.010930
1134.00     1.00       288.93     89774.85    1134.00    86.39     0.0000E+00     0.010930
1135.00     1.00       288.92     89764.23    1135.00    86.43     0.0000E+00     0.010930
1136.00     1.00       288.92     89753.62    1136.00    86.48     0.0000E+00     0.010930
1137.00     1.00       288.91     89743.00    1137.00    86.52     0.0000E+00     0.010930
1138.00     1.00       288.90     89732.39    1138.00    86.56     0.0000E+00     0.010930
1139.00     1.00       288.89     89721.78    1139.00    86.61     0.0000E+00     0.010930
1140.00     1.00       288.88     89711.17    1140.00    86.65     0.0000E+00     0.010930
1141.00     1.00       288.87     89700.56    1141.00    86.70     0.0000E+00     0.010930
1142.00     1.00       288.86     89689.95    1142.00    86.74     0.0000E+00     0.010930
1143.00     1.00       288.85     89679.35    1143.00    86.79     0.0000E+00     0.010930
1144.00     1.00       288.84     89668.74    1144.00    86.83     0.0000E+00     0.010930
1145.00     1.00       288.83     89658.13    1145.00    86.88     0.0000E+00     0.010930
1146.00     1.00       288.82     89647.53    1146.00    86.92     0.0000E+00     0.010930
1147.00     1.00       288.81     89636.92    1147.00    86.97     0.0000E+00     0.010930
1148.00     1.00       288.80     89626.32    1148.00    87.01     0.0000E+00     0.010930
1149.00     1.00       288.79     89615.72    1149.00    87.06     0.0000E+00     0.010930
1150.00     1.00       288.78     89605.12    1150.00    87.10     0.0000E+00     0.010930
1151.00     1.00       288.77     89594.52    1151.00    87.15     0.0000E+00     0.010930
1152.00     1.00       288.76     89583.92    1152.00    87.19     0.0000E+00     0.010930
1153.00     1.00       288.75     89573.32    1153.00    87.24     0.0000E+00     0.010930
1154.00     1.00       288.74     89562.72    1154.00    87.28     0.0000E+00     0.010930
1155.00     1.00       288.73     89552.13    1155.00    87.33     0.0000E+00     0.010930
1156.00     1.00       288.72     89541.53    1156.00    87.37     0.0000E+00     0.010930
1157.00     1.00       288.71     89530.94    1157.00    87.42     0.0000E+00     0.010930
1158.00     1.00       288.70     89520.34    1158.00    87.46     0.0000E+00     0.010930
1159.00     1.00       288.69     89509.75    1159.00    87.51     0.0000E+00     0.010930
1160.00     1.00       288.68     89499.16    1160.00    87.55     0.0000E+00     0.010930
1161.00     1.00       288.67     89488.56    1161.00    87.60     0.0000E+00     0.010930
1162.00     1.00       288.66     89477.97    1162.00    87.64     0.0000E+00     0.010930
1163.00     1.00       288.65     89467.38    1163.00    87.69     0.0000E+00     0.010930
1164.00     1.00       288.64     89456.80    1164.00    87.74     0.0000E+00     0.010930
1165.00     1.00       288.63     89446.21    1165.00    87.78     0.0000E+00     0.010930
1166.00     1.00       288.62     89435.62    1166.00    87.83     0.0000E+00     0.010930
1167.00     1.00       288.61     89425.03    1167.00    87.87     0.0000E+00     0.010930
1168.00     1.00       288.60     89414.45    1168.00    87.92     0.0000E+00     0.010930
1169.00     1.00       288.59     89403.87    1169.00    87.96     0.0000E+00     0.010930
1170.00     1.00       288.58     89393.28    1170.00    88.01     0.0000E+00     0.010930
1171.00     1.00       288.57     89382.70    1171.00    88.05     0.0000E+00     0.010930
1172.00     1.00       288.56     89372.12    1172.00    88.10     0.0000E+00     0.010930
1173.00     1.00       288.55     89361.54    1173.00    88.14     0.0000E+00     0.010930
1174.00     1.00       288.54     89350.96    1174.00    88.19     0.0000E+00     0.010930
1175.00     1.00       288.53     89340.38    1175.00    88.24     0.0000E+00     0.010930
1176.00     1.00       288.52     89329.80    1176.00    88.28     0.0000E+00     0.010930
1177.00     1.00       288.51     89319.22    1177.00    88.33     0.0000E+00     0.010930
1178.00     1.00       288.51     89308.65    1178.00    88.37     0.0000E+00     0.010930
1179.00     1.00       288.50     89298.07    1179.00    88.42     0.0000E+00     0.010930
1180.00     1.00       288.49     89287.50    1180.00    88.46     0.0000E+00     0.010930
1181.00     1.00       288.48     89276.93    1181.00    88.51     0.0000E+00     0.010930
1182.00     1.00       288.47     89266.35    1182.00    88.56     0.0000E+00     0.010930
1183.00     1.00       288.46     89255.78    1183.00    88.60     0.0000E+00     0.010930
1184.00     1.00       288.45     89245.21    1184.00    88.65     0.0000E+00     0.010930
1185.00     1.00       288.44     89234.64    1185.00    88.69     0.0000E+00     0.010930
1186.00     1.00       288.43     89224.07    1186.00    88.74     0.0000E+00     0.010930
1187.00     1.00       288.42     89213.50    1187.00    88.79     0.0000E+00     0.010930
1188.00     1.00       288.41     89202.94    1188.00    88.83     0.0000E+00     0.010930
1189.00     1.00       288.40     89192.37    1189.00    88.88     0.0000E+00     0.010930
1190.00     1.00       288.39     89181.80    1190.00    88.92     0.0000E+00     0.010930
1191.00     1.00       288.38     89171.24    1191.00    88.97     0.0000E+00     0.010930
1192.00     1.00       288.37     89160.68    1192.00    89.02     0.0000E+00     0.010930
1193.00     1.00       288.36     89150.11    1193.00    89.06     0.0000E+00     0.010930
1194.00     1.00       288.35     89139.55    1194.00    89.11     0.0000E+00     0.010930
1195.00     1.00       288.34     89128.99    1195.00    89.15     0.0000E+00     0.010930
1196.00     1.00       288.33     89118.43    1196.00    89.20     0.0000E+00     0.010930
1197.00     1.00       288.32     89107.87    1197.00    89.25     0.0000E+00     0.010930
1198.00     1.00       288.31     89097.31    1198.00    89.29     0.0000E+00     0.010930
1199.00     1.00       288.30     89086.76    1199.00    89.34     0.0000E+00     0.010930
1200.00     1.00       288.29     89076.20    1200.00    89.39     0.0000E+00     0.010930
1201.00     1.00       288.28     89065.64    1201.00    89.43     0.0000E+00     0.010930
1202.00     1.00       288.27     89055.09    1202.00    89.48     0.0000E+00     0.010930
1203.00     1.00       288.26     89044.54    1203.00    89.53     0.0000E+00     0.010930
1204.00     1.00       288.25     89033.98    1204.00    89.57     0.0000E+00     0.010930
1205.00     1.00       288.24     89023.43    1205.00    89.62     0.0000E+00     0.010930
1206.00     1.00       288.23     89012.88    1206.00    89.66     0.0000E+00     0.010930
1207.00     1.00       288.22     89002.33    1207.00    89.71     0.0000E+00     0.010930
1208.00     1.00       288.21     88991.78    1208.00    89.76     0.0000E+00     0.010930
1209.00     1.00       288.20     88981.23    1209.00    89.80     0.0000E+00     0.010930
1210.00     1.00       288.19     88970.68    1210.00    89.85     0.0000E+00     0.010930
1211.00     1.00       288.18     88960.14    1211.00    89.90     0.0000E+00     0.010930
1212.00     1.00       288.17     88949.59    1212.00    89.94     0.0000E+00     0.010930
1213.00     1.00       288.16     88939.05    1213.00    89.99     0.0000E+00     0.010930
1214.00     1.00       288.15     88928.50    1214.00    90.04     0.0000E+00     0.010930
1215.00     1.00       288.14     88917.96    1215.00    90.08     0.0000E+00     0.010930
1216.00     1.00       288.13     88907.42    1216.00    90.13     0.0000E+00     0.010930
1217.00     1.00       288.12     88896.88    1217.00    90.18     0.0000E+00     0.010930
1218.00     1.00       288.11     88886.34    1218.00    90.22     0.0000E+00     0.010930
1219.00     1.00       288.11     88875.80    1219.00    90.27     0.0000E+00     0.010930
1220.00     1.00       288.10     88865.26    1220.00    90.32     0.0000E+00     0.010930
1221.00     1.00       288.09     88854.72    1221.00    90.37     0.0000E+00     0.010930
1222.00     1.00       288.08     88844.18    1222.00    90.41     0.0000E+00     0.010930
1223.00     1.00       288.07     88833.65    1223.00    90.46     0.0000E+00     0.010930
1224.00     1.00       288.06     88823.11    1224.00    90.51     0.0000E+00     0.010930
1225.00     1.00       288.05     88812.58    1225.00    90.55     0.0000E+00     0.010930
1226.00     1.00       288.04     88802.04    1226.00    90.60     0.0000E+00     0.010930
1227.00     1.00       288.03     88791.51    1227.00    90.65     0.0000E+00     0.010930
1228.00     1.00       288.02     88780.98    1228.00    90.69     0.0000E+00     0.010930
1229.00     1.00       288.01     88770.45    1229.00    90.74     0.0000E+00     0.010930
1230.00     1.00       288.00     88759.92    1230.00    90.79     0.0000E+00     0.010930
1231.00     1.00       287.99     88749.39    1231.00    90.84     0.0000E+00     0.010930
1232.00     1.00       287.98     88738.86    1232.00    90.88     0.0000E+00     0.010930
1233.00     1.00       287.97     88728.34    1233.00    90.93     0.0000E+00     0.010930
1234.00     1.00       287.96     88717.81    1234.00    90.98     0.0000E+00     0.010930
1235.00     1.00       287.95     88707.29    1235.00    91.03     0.0000E+00     0.010930
1236.00     1.00       287.94     88696.76    1236.00    91.07     0.0000E+00     0.010930
1237.00     1.00       287.93     88686.24    1237.00    91.12     0.0000E+00     0.010930
1238.00     1.00       287.92     88675.71    1238.00    91.17     0.0000E+00     0.010930
1239.00     1.00       287.91     88665.19    1239.00    91.21     0.0000E+00     0.010930
1240.00     1.00       287.90     88654.67    1240.00    91.26     0.0000E+00     0.010930
1241.00     1.00       287.89     88644.15    1241.00    91.31     0.0000E+00     0.010930
1242.00     1.00       287.88     88633.63    1242.00    91.36     0.0000E+00     0.010930
1243.00     1.00       287.87     88623.12    1243.00    91.40     0.0000E+00     0.010930
1244.00     1.00       287.86     88612.60    1244.00    91.45     0.0000E+00     0.010930
1245.00     1.00       287.85     88602.08    1245.00    91.50     0.0000E+00     0.010930
1246.00     1.00       287.84     88591.57    1246.00    91.55     0.0000E+00     0.010930
1247.00     1.00       287.83     88581.05    1247.00    91.60     0.0000E+00     0.010930
1248.00     1.00       287.82     88570.54    1248.00    91.64     0.0000E+00     0.010930
1249.00     1.00       287.81     88560.03    1249.00    91.69     0.0000E+00     0.010930
1250.00     1.00       287.80     88549.51    1250.00    91.74     0.0000E+00     0.010930
1251.00     1.00       287.79     88539.00    1251.00    91.79     0.0000E+00     0.010930
1252.00     1.00       287.78     88528.49    1252.00    91.83     0.0000E+00     0.010930
1253.00     1.00       287.77     88517.98    1253.00    91.88     0.0000E+00     0.010930
1254.00     1.00       287.76     88507.48    1254.00    91.93     0.0000E+00     0.010930
1255.00     1.00       287.75     88496.97    1255.00    91.98     0.0000E+00     0.010930
1256.00     1.00       287.74     88486.46    1256.00    92.03     0.0000E+00     0.010930
1257.00     1.00       287.73     88475.96    1257.00    92.07     0.0000E+00     0.010930
1258.00     1.00       287.72     88465.45    1258.00    92.12     0.0000E+00     0.010930
1259.00     1.00       287.71     88454.95    1259.00    92.17     0.0000E+00     0.010930
1260.00     1.00       287.71     88444.44    1260.00    92.22     0.0000E+00     0.010930
1261.00     1.00       287.70     88433.94    1261.00    92.27     0.0000E+00     0.010930
1262.00     1.00       287.69     88423.44    1262.00    92.31     0.0000E+00     0.010930
1263.00     1.00       287.68     88412.94    1263.00    92.36     0.0000E+00     0.010930
1264.00     1.00       287.67     88402.44    1264.00    92.41     0.0000E+00     0.010930
1265.00     1.00       287.66     88391.94    1265.00    92.46     0.0000E+00     0.010930
1266.00     1.00       287.65     88381.45    1266.00    92.51     0.0000E+00     0.010930
1267.00     1.00       287.64     88370.95    1267.00    92.55     0.0000E+00     0.010930
1268.00     1.00       287.63     88360.45    1268.00    92.60     0.0000E+00     0.010930
1269.00     1.00       287.62     88349.96    1269.00    92.65     0.0000E+00     0.010930
1270.00     1.00       287.61     88339.46    1270.00    92.70     0.0000E+00     0.010930
1271.00     1.00       287.60     88328.97    1271.00    92.75     0.0000E+00     0.010930
1272.00     1.00       287.59     88318.48    1272.00    92.80     0.0000E+00     0.010930
1273.00     1.00       287.58     88307.99    1273.00    92.84     0.0000E+00     0.010930
1274.00     1.00       287.57     88297.50    1274.00    92.89     0.0000E+00     0.010930
1275.00     1.00       287.56     88287.01    1275.00    92.94     0.0000E+00     0.010930
1276.00     1.00       287.55     88276.52    1276.00    92.99     0.0000E+00     0.010930
1277.00     1.00       287.54     88266.03    1277.00    93.04     0.0000E+00     0.010930
1278.00     1.00       287.53     88255.54    1278.00    93.09     0.0000E+00     0.010930
1279.00     1.00       287.52     88245.06    1279.00    93.14     0.0000E+00     0.010930
1280.00     1.00       287.51     88234.57    1280.00    93.18     0.0000E+00     0.010930
1281.00     1.00       287.50     88224.09    1281.00    93.23     0.0000E+00     0.010930
1282.00     1.00       287.49     88213.60    1282.00    93.28     0.0000E+00     0.010930
1283.00     1.00       287.48     88203.12    1283.00    93.33     0.0000E+00     0.010930
1284.00     1.00       287.47     88192.64    1284.00    93.38     0.0000E+00     0.010930
1285.00     1.00       287.46     88182.16    1285.00    93.43     0.0000E+00     0.010930
1286.00     1.00       287.45     88171.68    1286.00    93.48     0.0000E+00     0.010930
1287.00     1.00       287.44     88161.20    1287.00    93.52     0.0000E+00     0.010930
1288.00     1.00       287.43     88150.72    1288.00    93.57     0.0000E+00     0.010930
1289.00     1.00       287.42     88140.25    1289.00    93.62     0.0000E+00     0.010930
1290.00     1.00       287.41     88129.77    1290.00    93.67     0.0000E+00     0.010930
1291.00     1.00       287.40     88119.29    1291.00    93.72     0.0000E+00     0.010930
1292.00     1.00       287.39     88108.82    1292.00    93.77     0.0000E+00     0.010930
1293.00     1.00       287.38     88098.35    1293.00    93.82     0.0000E+00     0.010930
1294.00     1.00       287.37     88087.87    1294.00    93.87     0.0000E+00     0.010930
1295.00     1.00       287.36     88077.40    1295.00    93.92     0.0000E+00     0.010930
1296.00     1.00       287.35     88066.93    1296.00    93.97     0.0000E+00     0.010930
1297.00     1.00       287.34     88056.46    1297.00    94.01     0.0000E+00     0.010930
1298.00     1.00       287.33     88045.99    1298.00    94.06     0.0000E+00     0.010930
1299.00     1.00       287.32     88035.52    1299.00    94.11     0.0000E+00     0.010930
1300.00     1.00       287.31     88025.06    1300.00    94.16     0.0000E+00     0.010930
1301.00     1.00       287.31     88014.59    1301.00    94.21     0.0000E+00     0.010930
1302.00     1.00       287.30     88004.12    1302.00    94.26     0.0000E+00     0.010930
1303.00     1.00       287.29     87993.66    1303.00    94.31     0.0000E+00     0.010930
1304.00     1.00       287.28     87983.20    1304.00    94.36     0.0000E+00     0.010930
1305.00     1.00       287.27     87972.73    1305.00    94.41     0.0000E+00     0.010930
1306.00     1.00       287.26     87962.27    1306.00    94.46     0.0000E+00     0.010930
1307.00     1.00       287.25     87951.81    1307.00    94.51     0.0000E+00     0.010930
1308.00     1.00       287.24     87941.35    1308.00    94.56     0.0000E+00     0.010930
1309.00     1.00       287.23     87930.89    1309.00    94.61     0.0000E+00     0.010930
1310.00     1.00       287.22     87920.43    1310.00    94.66     0.0000E+00     0.010930
1311.00     1.00       287.21     87909.97    1311.00    94.71     0.0000E+00     0.010930
1312.00     1.00       287.20     87899.52    1312.00    94.75     0.0000E+00     0.010930
1313.00     1.00       287.19     87889.06    1313.00    94.80     0.0000E+00     0.010930
1314.00     1.00       287.18     87878.61    1314.00    94.85     0.0000E+00     0.010930
1315.00     1.00       287.17     87868.15    1315.00    94.90     0.0000E+00     0.010930
1316.00     1.00       287.16     87857.70    1316.00    94.95     0.0000E+00     0.010930
1317.00     1.00       287.15     87847.25    1317.00    95.00     0.0000E+00     0.010930
1318.00     1.00       287.14     87836.80    1318.00    95.05     0.0000E+00     0.010930
1319.00     1.00       287.13     87826.35    1319.00    95.10     0.0000E+00     0.010930
1320.00     1.00       287.12     87815.90    1320.00    95.15     0.0000E+00     0.010930
1321.00     1.00       287.11     87805.45    1321.00    95.20     0.0000E+00     0.010930
1322.00     1.00       287.10     87795.00    1322.00    95.25     0.0000E+00     0.010930
1323.00     1.00       287.09     87784.55    1323.00    95.30     0.0000E+00     0.010930
1324.00     1.00       287.08     87774.11    1324.00    95.35     0.0000E+00     0.010930
1325.00     1.00       287.07     87763.66    1325.00    95.40     0.0000E+00     0.010930
1326.00     1.00       287.06     87753.22    1326.00    95.45     0.0000E+00     0.010930
1327.00     1.00       287.05     87742.77    1327.00    95.50     0.0000E+00     0.010930
1328.00     1.00       287.04     87732.33    1328.00    95.55     0.0000E+00     0.010930
1329.00     1.00       287.03     87721.89    1329.00    95.60     0.0000E+00     0.010930
1330.00     1.00       287.02     87711.45    1330.00    95.65     0.0000E+00     0.010930
1331.00     1.00       287.01     87701.01    1331.00    95.70     0.0000E+00     0.010930
1332.00     1.00       287.00     87690.57    1332.00    95.75     0.0000E+00     0.010930
1333.00     1.00       286.99     87680.13    1333.00    95.80     0.0000E+00     0.010930
1334.00     1.00       286.98     87669.70    1334.00    95.85     0.0000E+00     0.010930
1335.00     1.00       286.97     87659.26    1335.00    95.90     0.0000E+00     0.010930
1336.00     1.00       286.96     87648.82    1336.00    95.95     0.0000E+00     0.010930
1337.00     1.00       286.95     87638.39    1337.00    96.00     0.0000E+00     0.010930
1338.00     1.00       286.94     87627.96    1338.00    96.05     0.0000E+00     0.010930
1339.00     1.00       286.93     87617.52    1339.00    96.10     0.0000E+00     0.010930
1340.00     1.00       286.92     87607.09    1340.00    96.15     0.0000E+00     0.010930
1341.00     1.00       286.91     87596.66    1341.00    96.20     0.0000E+00     0.010930
1342.00     1.00       286.90     87586.23    1342.00    96.25     0.0000E+00     0.010930
1343.00     1.00       286.90     87575.80    1343.00    96.31     0.0000E+00     0.010930
1344.00     1.00       286.89     87565.37    1344.00    96.36     0.0000E+00     0.010930
1345.00     1.00       286.88     87554.95    1345.00    96.41     0.0000E+00     0.010930
1346.00     1.00       286.87     87544.52    1346.00    96.46     0.0000E+00     0.010930
1347.00     1.00       286.86     87534.09    1347.00    96.51     0.0000E+00     0.010930
1348.00     1.00       286.85     87523.67    1348.00    96.56     0.0000E+00     0.010930
1349.00     1.00       286.84     87513.25    1349.00    96.61     0.0000E+00     0.010930
1350.00     1.00       286.83     87502.82    1350.00    96.66     0.0000E+00     0.010930
1351.00     1.00       286.82     87492.40    1351.00    96.71     0.0000E+00     0.010930
1352.00     1.00       286.81     87481.98    1352.00    96.76     0.0000E+00     0.010930
1353.00     1.00       286.80     87471.56    1353.00    96.81     0.0000E+00     0.010930
1354.00     1.00       286.79     87461.14    1354.00    96.86     0.0000E+00     0.010930
1355.00     1.00       286.78     87450.72    1355.00    96.91     0.0000E+00     0.010930
1356.00     1.00       286.77     87440.30    1356.00    96.96     0.0000E+00     0.010930
1357.00     1.00       286.76     87429.89    1357.00    97.01     0.0000E+00     0.010930
1358.00     1.00       286.75     87419.47    1358.00    97.07     0.0000E+00     0.010930
1359.00     1.00       286.74     87409.06    1359.00    97.12     0.0000E+00     0.010930
1360.00     1.00       286.73     87398.64    1360.00    97.17     0.0000E+00     0.010930
1361.00     1.00       286.72     87388.23    1361.00    97.22     0.0000E+00     0.010930
1362.00     1.00       286.71     87377.82    1362.00    97.27     0.0000E+00     0.010930
1363.00     1.00       286.70     87367.40    1363.00    97.32     0.0000E+00     0.010930
1364.00     1.00       286.69     87356.99    1364.00    97.37     0.0000E+00     0.010930
1365.00     1.00       286.68     87346.58    1365.00    97.42     0.0000E+00     0.010930
1366.00     1.00       286.67     87336.18    1366.00    97.47     0.0000E+00     0.010930
1367.00     1.00       286.66     87325.77    1367.00    97.53     0.0000E+00     0.010930
1368.00     1.00       286.65     87315.36    1368.00    97.58     0.0000E+00     0.010930
1369.00     1.00       286.64     87304.96    1369.00    97.63     0.0000E+00     0.010930
1370.00     1.00       286.63     87294.55    1370.00    97.68     0.0000E+00     0.010930
1371.00     1.00       286.62     87284.15    1371.00    97.73     0.0000E+00     0.010930
1372.00     1.00       286.61     87273.74    1372.00    97.78     0.0000E+00     0.010930
1373.00     1.00       286.60     87263.34    1373.00    97.83     0.0000E+00     0.010930
1374.00     1.00       286.59     87252.94    1374.00    97.88     0.0000E+00     0.010930
1375.00     1.00       286.58     87242.54    1375.00    97.94     0.0000E+00     0.010930
1376.00     1.00       286.57     87232.14    1376.00    97.99     0.0000E+00     0.010930
1377.00     1.00       286.56     87221.74    1377.00    98.04     0.0000E+00     0.010930
1378.00     1.00       286.55     87211.34    1378.00    98.09     0.0000E+00     0.010930
1379.00     1.00       286.54     87200.94    1379.00    98.14     0.0000E+00     0.010930
